"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"d5jh","希望綠豆湯","甜點","4.8","(500+)","taichung"
"w9g9","唯有愛與美食不可辜負","歐美","5","(1)","taichung"
"bbl0","澎沛萃茶佐木耳","飲料","5","(100)","taichung"
"m4tf","金蘋子","甜點","4.5","(100+)","taichung"
"snvs","沐沐茶旅","飲料","4.8","(100+)","taichung"
"u3da","中興素食 (台中林森店)","素食","4.8","(1000+)","taichung"
"polz","大匠厚切豬排飯","日式","4.6","(500+)","taichung"
"o8cc","貳樓餐廳Second Floor Cafe (台中公益店)","歐美","4.7","(100+)","taichung"
"ubr2","牛庵 - 牛骨拉麵、咖哩","日式","5","(35)","taichung"
"a3ab","御阪拉麵","日式","4.8","(1000+)","taichung"
"aw2a","檨艸Sur Tsao","甜點","4.9","(94)","taichung"
"l7cr","圓味壽司 (台中學士店)","日式","4.8","(1000+)","taichung"
"rs59","快樂找餐店","早餐","4.8","(93)","taichung"
"y1bm","SUBWAY (健行學士店)","歐美","4.8","(1000+)","taichung"
"u1nt","神社蘋果紅茶 (台中學士店)","飲料","4.9","(1000+)","taichung"
"sljs","Oh mo oh 哞 | 木瓜牛奶 鮮奶烤吐司專賣","小吃","4.6","(97)","taichung"
"a1rv","翔爸涼麵 (大誠店)","健康餐","4.8","(500+)","taichung"
"rkaq","栗子烘焙 (栗子咖啡)","甜點","5","(52)","taichung"
"y2wi","臥龍崗麻辣香香鍋","中式","4.8","(500+)","taichung"
"srwc","平祿壽司(台中五權店)","日式","4.6","(1000+)","taichung"
"aeg0","粥魂 (南屯東興店)","台式","4.6","(86)","taichung"
"ho5b","樂雅樂 (台中文心店)","日式","4.7","(100+)","taichung"
"y3nf","杏子豆腐冰.嫩仙草.紫米紅豆.銀耳蓮子","甜點","4.6","(500+)","taichung"
"s32d","50米深嵐 (台中學士店)","歐美","4.8","(100+)","taichung"
"f9fp","神仙堂嫩仙草專賣店","甜點","4.8","(500+)","taichung"
"b7dm","蕎薇飲品烤吐司專賣","甜點","4.7","(100+)","taichung"
"e4q9","芭樂爸甘草芭樂 (台中中清店)","甜點","4.8","(100+)","taichung"
"pkbu","法瑞琦植物優格 (台中文心店)","甜點","5","(10)","taichung"
"y3ok","甜在心豆花","甜點","4.7","(2000+)","taichung"
"ggdv","868大水餃","台式","4.8","(100+)","taichung"
"c2dd","三華土魠魚焿","台式","4.6","(500+)","taichung"
"ml50","666美式炸雞 (永興總店)","歐美","4.8","(100+)","taichung"
"y3os","北港鴨肉羹嘉義雞肉飯","台式","4.5","(1000+)","taichung"
"r483","甜恬屋脆皮甜甜圈","甜點","4.8","(73)","taichung"
"gmoc","亨小包 港式冰火菠蘿油","甜點","4.9","(64)","taichung"
"hiz6","香港阿杜茶餐廳","港式","4.5","(100+)","taichung"
"he44","花一番炸牛排專門店","日式","4.8","(500+)","taichung"
"f8yg","喜茶村 (台中永興店)","飲料","4.8","(1000+)","taichung"
"dh4o","小仁泉極品豆漿 (台中向上店)","甜點","5","(100+)","taichung"
"xumz","勇興豆乳雞","小吃","4.8","(100+)","taichung"
"j8oc","鹿仔港魷魚肉羹","台式","4.7","(1000+)","taichung"
"s98u","荳神綠豆沙 (台中永興店)","飲料","5","(28)","taichung"
"y3fl","京城羊肉麵線","台式","4.7","(2000+)","taichung"
"y9fu","法愛韓式海苔飯捲","韓式","4.6","(100+)","taichung"
"mkpq","多情人日式咖喱","日式","4.7","(500+)","taichung"
"q9ex","弄米手作捲食、飲品","小吃","4.8","(1000+)","taichung"
"vgr8","二十年老店 永盛雞肉飯","台式","4.5","(100+)","taichung"
"y8wn","來來來養身鍋燒意麵","台式","4.6","(2000+)","taichung"
"e2fc","大俠綠豆沙 (台中永興店)","飲料","4.9","(1000+)","taichung"
"z4fk","金色三麥 (台中市政店)","歐美","4.8","(500+)","taichung"
"oayj","香品藥燉排骨麵線鴨香飯","台式","4.7","(100+)","taichung"
"xu6b","諾諾索義式料理","歐美","4.9","(38)","taichung"
"nuyv","圓寶現打果汁","飲料","5","(2)","taichung"
"d2mu","waka caf'e 瓦卡咖啡 (南屯向上店)","咖啡","4.8","(100+)","taichung"
"hj1y","果嚼GWO CHEW","健康餐","2.9","(5)","taichung"
"xdiu","鳳鶴茶糛","飲料","5","(10)","taichung"
"fwp2","柳原後巷優格沙拉","健康餐","4.6","(500+)","taichung"
"zacy","焗男廚房","歐美","4.8","(500+)","taichung"
"cuwk","興丼壽司 (台中店)","日式","4.3","(98)","taichung"
"q3z1","暮慕燒蓋飯。鍋燒專門店","台式","4.5","(100+)","taichung"
"x80s","黃記家鄉料理 (台中北平店)","台式","3","(45)","taichung"
"ctcl","快樂鳥網路電競館 (台中一中店)","台式","4.8","(100+)","taichung"
"cs8b","家香味芋頭米粉湯","台式","4.5","(98)","taichung"
"fzzt","私肉羹小吃店","台式","4.6","(100+)","taichung"
"a9kf","艾瑪蕾蒂 原味·甜點","甜點","4.8","(100+)","taichung"
"l2i4","Lamour拉姆甜點工場","甜點","4.9","(56)","taichung"
"evjd","阿潘家幸福蔬食","素食","5","(46)","taichung"
"ig95","圓木嫩仙草 (台中天津店)","甜點","4.8","(500+)","taichung"
"pfn2","焦糖楓串燒漢方無烟撒粉 (台中一中店)","小吃","4.6","(500+)","taichung"
"v2ei","遇。脆皮車輪餅","甜點","4.9","(100+)","taichung"
"z4ey","員林劉記四神湯 (台中北平店)","台式","4.6","(1000+)","taichung"
"ktxs","小么雞 (台中櫻花店)","小吃","4.6","(100+)","taichung"
"j693","竹間本舖古早味蛋糕","甜點","5","(100+)","taichung"
"i02t","小蝸牛馬鈴薯沙拉","健康餐","4.8","(65)","taichung"
"a6zw","潮州肉圓","小吃","4.7","(100+)","taichung"
"kv02","澖女狀元糕","甜點","5","(11)","taichung"
"qb87","花囍家專業生熟食日式料理專門店 (一中店)","日式","4.9","(500+)","taichung"
"r6fs","小島町戀日式料理","日式","4.9","(4)","taichung"
"l79i","茂川肉丸","小吃","4.3","(100+)","taichung"
"a8wb","御品香手作蔥抓餅 (台中北平店)","小吃","4.7","(100+)","taichung"
