"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"g4lk","北港鴨肉羹","台式","4.8","(2000+)","new-taipei-city"
"wy7g","吞食天地","早餐","4.5","(8)","new-taipei-city"
"phty","胖蜀薯川味小館","中式","4.9","(37)","new-taipei-city"
"ttt0","中華麵館","台式","4.6","(500+)","new-taipei-city"
"wqq4","樸樂早午餐 (新莊八德店)","歐美","5","(1)","new-taipei-city"
"hg84","翊品狠炒","台式","4.6","(100+)","new-taipei-city"
"jze2","武鶴個人鍋 (新莊中平店)","台式","3.8","(50)","new-taipei-city"
"wzff","天生蔬食","素食","4.8","(500+)","new-taipei-city"
"h4ys","肥滋滋鹹粥","台式","4.8","(100+)","new-taipei-city"
"a7t9","三河中川屋 (新莊中華店)","日式","5","(3)","new-taipei-city"
"m7r0","晨鳴食客Brunch早午餐","早餐","5","(1)","new-taipei-city"
"dbvh","旺角飲茶","港式","4.5","(100+)","new-taipei-city"
"dn45","金剛咖啡茶飲 (新莊西盛店)","飲料","4.9","(100+)","new-taipei-city"
"gys7","小食麻辣","小吃","4.7","(100+)","new-taipei-city"
"odz9","花媽早餐屋","早餐","4.8","(100+)","new-taipei-city"
"ekig","張姐複合美食","台式","4.9","(28)","new-taipei-city"
"z5yt","佳典魯肉飯 (泰山店)","台式","4.7","(4000+)","new-taipei-city"
"efzx","微胖手作茶飲 (新莊新泰店)","飲料","4.8","(100+)","new-taipei-city"
"f4jy","楊家將番茄牛肉麵","台式","4.8","(500+)","new-taipei-city"
"cmat","吃乎義料","歐美","4.8","(100+)","new-taipei-city"
"twxx","酥鮮主義-蟹殼黃蔥酥餅 (新莊四維店)","小吃","4.9","(100+)","new-taipei-city"
"d5ya","陳寬臭臭鍋","台式","4.7","(500+)","new-taipei-city"
"a5gi","阿娘麵館","台式","4.7","(1000+)","new-taipei-city"
"yble","麗麗豬腳飯 (泰山明志店)","台式","4.5","(100+)","new-taipei-city"
"hg7e","波波堂","甜點","4.9","(64)","new-taipei-city"
"mqfu","陳寬日式鍋燒","日式","4.3","(24)","new-taipei-city"
"zyjc","辣媽紅燒麻辣鴨血臭豆腐","台式","4.5","(81)","new-taipei-city"
"q2uk","越南豬肉河粉","東南亞","4.8","(100+)","new-taipei-city"
"b7oh","焗之家專賣店","歐美","4.6","(4000+)","new-taipei-city"
"b0ol","鍋棧精緻養生鍋","台式","4.7","(3000+)","new-taipei-city"
"e5tf","永和豆漿&米苔目","小吃","4.6","(500+)","new-taipei-city"
"runc","長腿叔叔小吃店","台式","4.8","(100+)","new-taipei-city"
"jyqd","燕子油飯","台式","4.7","(500+)","new-taipei-city"
"s1bg","apple203 (新莊四維店)","早餐","4.7","(100+)","new-taipei-city"
"hrsa","趙咖風味","台式","4.9","(100+)","new-taipei-city"
"d8tc","老客馥粥品 (泰山明志店)","台式","4.9","(1000+)","new-taipei-city"
"xuyr","真味肉圓 (新北四維店)","小吃","4.6","(100+)","new-taipei-city"
"bxl3","不二弄咖啡 (新莊中華店)","歐美","4.8","(1000+)","new-taipei-city"
