"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"z4rs","烤肉工廠-烤肉飯專賣店","台式","4.7","(1000+)","taipei-city"
"c8pf","吐司股長 (原高三孝松菸店)","台式","4.9","(1000+)","taipei-city"
"e6nc","合集良飲","飲料","4.8","(500+)","taipei-city"
"f9fx","東門甜不辣","小吃","4.8","(1000+)","taipei-city"
"l2c9","四川冰粉 (微風南京店)","甜點","4.4","(87)","taipei-city"
"e7tc","宜品福州乾拌麵","中式","4.8","(10000+)","taipei-city"
"hpsk","饌味香 鍋貼麵食館","台式","4.7","(100+)","taipei-city"
"jl1o","小同安麵食館","台式","5","(51)","taipei-city"
"pget","老王記手工麵線 (台北東區店)","小吃","1.4","(3)","taipei-city"
"e5lu","饌味香鍋貼麵食館","台式","4.8","(5000+)","taipei-city"
"lavl","王家麵食館","台式","4.8","(100+)","taipei-city"
"cm7z","HAPI CAFE","歐美","5","(1)","taipei-city"
"gsze","大河屋 (微風南京店)","日式","4.6","(100+)","taipei-city"
"n4yh","Maison Kayser (微風南京)","甜點","4.9","(100+)","taipei-city"
"ugrq","湄河泰國料理","東南亞","4.4","(6)","taipei-city"
"uthg","COZY SUN DAY 日向咖啡 光復店","咖啡","4.8","(100+)","taipei-city"
"dvrd","璐緹咖啡館 川味牛肉麵","歐美","5","(1)","taipei-city"
"saf1","筷子餐廳","中式","4.4","(57)","taipei-city"
"w759","安好食早午餐(大巨蛋店)","早餐","4.7","(100+)","taipei-city"
"sg4c","牛脾氣美食坊","台式","4.9","(500+)","taipei-city"
"f0ud","大鉧鍋","台式","4.5","(500+)","taipei-city"
"t7dl","BBB漢堡俱樂部","歐美","4.5","(14)","taipei-city"
"d940","滿月甜甜圈 (台北敦化店)","甜點","4.6","(2000+)","taipei-city"
"fkmr","飯捲先生","韓式","4.9","(500+)","taipei-city"
"dgaa","凱琳手作蛋餅","早餐","4.9","(1000+)","taipei-city"
"cnxp","東區清粥小菜","台式","4.4","(1000+)","taipei-city"
"kmw2","巧主廚x隱咖喱 (信義二號店)","日式","4.7","(500+)","taipei-city"
"a6ls","瓷禧茶坊 (台北松菸店)","飲料","4.8","(500+)","taipei-city"
"f2gx","恩恩努肉飯","台式","4.2","(100+)","taipei-city"
